Word,Length,Freq_HAL,Log_Freq_HAL,SUBTLWF,LgSUBTLWF,SUBTLCD,LgSUBTLCD,Ortho_N,Phono_N,Phono_N_H,OG_N,OG_N_H,Freq_N,Freq_N_P,Freq_N_PH,Freq_N_OG,Freq_N_OGH,Freq_Greater,Freq_G_Mean,Freq_Less,Freq_L_Mean,Freq_Rel,Concreteness_Rating,Semantic_Neighborhood_Density,Semantic_Neighbors,Semantic_Diversity,Age_Of_Acquisition,Body_Object_Interaction,Emotional_Valence,Emotional_Arousal,Emotional_Dominance,BG_Sum,BG_Mean,BG_Freq_By_Pos,Pron,NPhon,NSyll,MorphSp,MorphPr,NMorph,POS,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_SD,I_NMG_Obs,I_NMG_Mean_Accuracy
ash,3,"3,594",8.187,9.2,2.672,1.7,2.158,6,12,14,1,1,7.8,11.338,10.787,10.304,10.304,3,10.1,3,5.4,1.05,4.96,0.604,"3,797",1.677,6.627,4.333,,,,"5,720","2,860.00",383,"""aS",2,1,{ash},"{""aS}",1,NN,623,-0.6,157.143,25,1,601.64,-0.54,125.784,,1
attractive,10,"12,510",9.434,24.63,3.099,10.5,2.946,0,1,1,0,0,,7.112,7.112,,,,,,,,2.64,0.618,"4,733",2.022,8.58,,7.19,4.91,6.81,"38,084","4,231.56","4,057","@.tr""akt.Iv",8,3,{attract}>ive>,"{@.tr""akt}.>Iv>",2,JJ,688.667,-0.365,218.451,28,0.97,645.821,-0.493,133.551,,1
bad,3,"153,580",11.942,545.18,4.444,86,3.858,23,40,46,17,17,8.8,7.597,7.352,9.017,9.017,1,13.5,22,8.5,1.36,1.68,0.669,"8,258",1.979,2.79,1.889,3.24,4.86,3.56,"3,752","1,876.00","1,260","b""ad",3,1,{bad},"{b""ad}",1,JJ|NN|RB,602.029,-0.639,219.605,26,1,579.423,-0.642,119.441,,1
baggage,7,"1,875",7.536,6.24,2.504,2.67,2.352,0,1,1,0,0,,5.1,5.1,,,,,,,,4.43,0.532,0,1.491,7.52,5.966,4.5,4,5.95,"9,161","1,526.83","2,318","b""ag.IdZ",5,2,{bag}>age>,"{b""ag}.>IdZ>",2,NN,655.818,-0.435,232.131,26,0.97,674.462,-0.267,205.918,,0.963
ballad,6,985,6.893,1.41,1.863,0.66,1.748,1,3,3,0,0,4.6,7.271,7.271,,,0,,1,4.6,1.49,3.88,0.578,"1,086",1.131,11.21,2.32,6.33,3.6,6.32,"17,784","3,556.80","4,038","b""a.l@d",5,2,{ballad},"{b""a.l@d}",1,NN,784.233,-0.136,326.486,25,0.88,667.08,-0.179,135.674,,0.962
bass,4,"17,075",9.745,7.55,2.587,2.67,2.352,18,28,31,4,7,7.4,7.014,7.151,7.032,7.823,3,10.7,15,6.7,1.32,4.31,0.637,"5,644",1.017,8.63,4.37,5.23,4.87,5.89,"8,621","2,873.67","2,368","b""es",3,1,{bass},"{b""es}",1,NN,612.613,-0.622,363.355,24,0.97,748.167,-0.093,258.879,,0.889
bathroom,8,"6,414",8.766,61.67,3.498,21.88,3.264,0,1,1,0,0,,4.92,4.92,,,,,,,,4.52,0.561,39,1.315,3,6,5.26,2.86,5.25,"21,494","3,070.57","3,319","b""aT.r%um",6,2,{bath}{room},"{b""aT}.{r%um}",2,NN,553.697,-0.738,144.244,29,1,583.103,-0.593,137.462,,1
beach,5,"26,666",10.191,56.63,3.461,15.39,3.111,7,26,29,4,7,7.9,7.701,7.647,8.73,8.231,1,10.4,6,7.5,1.29,4.79,0.658,"7,128",1.348,4.8,5.667,7.21,5.1,5.7,"11,225","2,806.25","3,294","b""itS",3,1,{beach},"{b""itS}",1,NN,649.529,-0.489,325.541,25,1,623.64,-0.456,207.311,,1
beautiful,9,"31,342",10.353,279.73,4.154,59.29,3.697,0,1,1,0,0,,4.007,4.007,,,,,,,,2.16,0.65,"6,760",1.709,5.72,1.875,7.61,5.71,6.17,"21,391","2,673.88","3,873","bj""u.4@.fl=",7,3,{beauty}>ful>,"{bj""u.4@$}.>fl=>",2,JJ,700.567,-0.372,260.373,28,0.97,613.143,-0.532,123.63,,1
big,3,"178,681",12.093,682.82,4.542,86.24,3.859,19,28,28,18,18,8.5,8.068,8.068,8.573,8.573,0,,19,8.5,1.42,3.66,0.687,"9,069",1.949,2.89,2.654,5.64,4.33,5.61,"2,957","1,478.50",888,"b""Ig",3,1,{big},"{b""Ig}",1,JJ,534.5,-0.89,133.634,28,0.94,609.786,-0.622,175.473,,1
birthday,8,"8,557",9.055,97.22,3.695,19.93,3.224,0,0,0,0,0,,,,,,,,,,,3.2,0.621,"4,717",1.779,2.85,1.577,6.37,4.6,6.07,"9,442","1,348.86","2,463","b""3`T.d%e",5,2,{birth}{day},"{b""3`T}.{d%e}",2,NN,682.71,-0.361,261.718,28,0.97,597,-0.544,127.933,,1
black,5,"160,756",11.988,167.94,3.933,38.03,3.504,5,14,14,4,4,7.2,5.944,5.944,6.653,6.653,0,,5,7.2,1.65,3.76,0.69,"9,252",1.79,3.56,1.773,5.4,3.58,5.48,"11,256","2,814.00","2,629","bl""ak",4,1,{black},"{bl""ak}",1,JJ|NN|VB,658.029,-0.49,289.524,26,1,518.538,-0.839,63.035,,0.963
blocks,6,"14,411",9.576,15,2.884,7.25,2.785,4,10,15,4,4,7.2,5.745,5.659,7.197,7.197,0,,4,7.2,1.33,,0.635,"5,545",1.853,4.79,,,,,"9,218","1,843.60","2,121","bl""Aks",5,1,{block}>s>,"{bl""Ak}>s>",2,NN|VB,649.882,-0.612,259.298,28,1,575.929,-0.669,125.732,,1
blunt,5,"1,713",7.446,4.9,2.4,2.41,2.308,2,4,4,2,2,3.1,4.105,4.105,3.143,3.143,0,,2,3.1,2.37,3.07,0.556,191,1.915,11.05,2.72,4.65,4.61,5.63,"11,885","2,971.25","2,113","bl""Vnt",5,1,{blunt},"{bl""Vnt}",1,VB|JJ|NN,617.875,-0.661,153.714,28,0.97,587.393,-0.623,73.824,,1
boiling,7,"3,078",8.032,4.22,2.334,2.16,2.26,8,12,12,8,8,4.5,4.652,4.652,4.499,4.499,1,8.6,7,3.9,1.79,4.39,0.569,8,1.42,,2.292,,,,"34,615","5,769.17","6,019","b""OIl.IN",5,2,{boil}>ing>,"{b""OIl}.>IN>",2,VB|NN|JJ,607.226,-0.649,178.219,27,0.94,612.889,-0.514,96.736,,0.931
box,3,"171,530",12.053,89.75,3.661,28.05,3.372,16,40,44,6,6,7.9,6.007,5.971,7.839,7.839,0,,16,7.9,1.52,4.9,0.664,"7,696",1.916,4.3,6.292,5.33,2.67,4.67,"1,930",965,802,"b""Aks",4,1,{box},"{b""Aks}",1,NN|VB,697.029,-0.585,455.438,28,1,557.071,-0.805,69.405,,0.966
bracelet,8,443,6.094,7.8,2.601,2.3,2.288,0,0,0,0,0,,,,,,,,,,,4.96,0.413,0,1.453,5.68,6.5,6.48,3.96,5,"26,084","3,726.29","4,936","br""es.l@t",7,2,{brace}>let>,"{br""es}.>l@t>",2,NN,673.485,-0.457,162.628,28,0.94,659.036,-0.286,118.712,,1
brave,5,"5,524",8.617,31.71,3.209,13.25,3.046,7,14,14,6,6,7,5.952,5.952,6.863,6.863,2,8.8,5,6.3,1.23,2.26,0.581,"1,929",1.894,6,1.407,7.38,4.95,6.84,"11,526","2,881.50","3,034","br""ev",4,1,{brave},"{br""ev}",1,JJ,573.094,-0.833,206.127,27,0.97,560.704,-0.752,61.168,,1
bright,6,"13,726",9.527,44.41,3.355,16.73,3.147,4,16,16,3,3,6.8,7.151,7.151,6.004,6.004,0,,4,6.8,1.41,3.92,0.634,"5,976",1.788,6.58,1.36,6.84,5,6.38,"10,548","2,109.60","2,520","br""aIt",4,1,{bright},"{br""aIt}",1,JJ|NN,598.774,-0.621,199.118,28,0.97,582.357,-0.552,98.843,,0.966
brilliant,9,"7,731",8.953,35.8,3.262,14.08,3.073,0,1,1,0,0,,6.931,6.931,,,,,,,,2.07,0.61,"4,166",1.878,7.95,2.261,7.5,5.95,7.16,"35,107","4,388.38","5,432","br""I.lj@nt",8,2,{brilli--ant},"{br""I.lj--@nt}",2,JJ,722.452,-0.37,302.516,28,0.97,634.143,-0.427,97.131,,1
building,8,"48,370",10.787,99.57,3.706,28.74,3.382,0,6,6,0,0,,4.126,4.126,,,,,,,,4.64,0.68,"8,431",1.924,6.16,5.208,5.47,3.35,6,"32,823","4,689.00","5,633","b""Ild.IN",6,2,{build}>ing>,"{b""Ild}.>IN>",2,NN|VB,633.968,-0.542,190.588,26,1,620.808,-0.423,117.345,,0.963
burrow,6,258,5.553,0.55,1.462,0.31,1.431,5,5,13,3,3,5.7,6.62,6.273,6.569,6.569,2,7.3,3,4.6,0.97,3.67,0.468,0,0.998,8.45,2.818,5.53,3.52,5.24,"10,772","2,154.40","3,070","b""3`.ro",4,2,{burrow},"{b""3`.ro}",1,NN|VB,689.542,-0.39,179.351,27,0.8,648.519,-0.37,151.461,,0.964
busy,4,"19,614",9.884,106.53,3.735,38.22,3.506,6,11,11,0,0,6.5,5.783,5.783,,,0,,6,6.5,1.51,2.41,0.615,"4,770",1.931,5.95,,5.41,4.52,4.44,"4,572","1,524.00","1,217","b""I.zi",4,2,{busy},"{b""I.zi}",1,JJ,601.531,-0.643,204.84,25,0.97,599.6,-0.665,84.056,,0.962
cabbage,7,"1,124",7.025,2.9,2.173,1.3,2.041,0,1,1,0,0,,6.221,6.221,,,,,,,,4.75,0.487,0,1.364,5.78,5.609,4.6,2.91,5.93,"11,943","1,990.50","2,770","k""a.b@dZ",5,2,{cabbage},"{k""a.b@dZ}",1,NN,630.9,-0.505,126.464,28,0.97,653.964,-0.283,119.111,,1
calm,4,"6,300",8.748,89.04,3.657,29.4,3.392,5,37,40,1,1,7.6,7.429,7.489,7.321,7.321,1,12.4,4,6.5,1.15,2.83,0.585,"2,209",1.766,6.26,1.875,6.89,1.67,7.44,"10,013","3,337.67","2,633","k""Am",3,1,{calm},"{k""Am}",1,JJ|NN|VB,587.152,-0.678,193.627,27,1,585.37,-0.538,70.742,,1
casual,6,"5,053",8.528,7.31,2.573,3.33,2.447,0,0,0,0,0,,,,,,,,,,,2.03,0.579,"1,955",1.82,9.83,2.28,6.05,3,6.35,"15,190","3,038.00","3,053","k""a.Zu@l",6,2,{casual},"{k""a.Zu@l}",1,JJ,626.774,-0.459,179.677,25,0.97,625.4,-0.478,113.146,,0.893
caviar,6,"1,416",7.256,3.82,2.292,1.7,2.158,0,0,0,0,0,,,,,,,,,,,4.7,0.338,0,1.531,12.83,4.818,5.53,3.8,5.53,"14,575","2,915.00","2,996","k""a.vi.Ar",6,3,{caviar},"{k""a.vi.Ar}",1,NN,855.923,0.097,402.542,28,0.81,690.071,0.028,184.124,,1
certain,7,"81,374",11.307,85.37,3.639,31.64,3.424,2,8,8,1,1,7.2,6.581,6.581,7.577,7.577,0,,2,7.2,1.57,1.68,0.685,"8,682",2.188,8.2,,6.11,3,6.78,"37,802","6,300.33","5,376","s""3`.tn=",4,2,{certain},"{s""3`.tn=}",1,JJ|RB|NN,612.697,-0.563,212.613,28,0.97,692.321,-0.181,175.163,,1
chain,5,"23,315",10.057,21.22,3.035,8.81,2.869,2,41,41,1,1,6.3,7.044,7.044,2.833,2.833,0,,2,6.3,1.59,4.55,0.657,"7,270",1.893,5.22,5.958,4.79,4.05,4.2,"22,239","5,559.75","3,215","tS""en",3,1,{chain},"{tS""en}",1,NN|VB,552.333,-0.69,125.672,27,1,652.074,-0.23,158.636,,1
chair,5,"18,589",9.83,49.24,3.4,18.51,3.192,3,36,36,0,0,8.1,8.712,8.712,,,1,10.1,2,7.1,1.22,4.58,0.637,"5,840",1.638,3.43,6.88,5.89,2.86,5.28,"9,195","2,298.75","2,228","tS""Er",3,1,{chair},"{tS""Er}",1,NN|VB,607.03,-0.692,181.404,28,0.97,606.571,-0.389,99.414,,1
chili,5,"1,783",7.486,7.49,2.583,2.41,2.308,3,21,33,0,4,9.2,6.111,6.188,,8.284,3,9.2,0,,0.82,4.79,0.642,1,,6.61,5.292,4.45,4.62,6.3,"14,599","3,649.75","3,159","tS""I.li",4,2,{chili},"{tS""I.li}",1,NN,722.741,-0.199,217.59,26,0.84,729.115,-0.173,197.28,,0.963
